time,G(i),H_sun,T2m,WS10m,Int
20050117:0300,0.0,0.0,-3.05,2.44,0.0
20050117:0400,0.0,0.0,-3.41,2.6,0.0
20050117:0500,0.0,0.0,-3.76,2.76,0.0
20050117:0600,0.0,0.0,-4.12,2.92,0.0
20050117:0700,0.0,0.0,-4.44,2.88,0.0
20050117:0800,0.0,0.0,-4.76,2.83,0.0
20050117:0900,0.0,0.0,-5.08,2.79,0.0
20050117:1000,0.0,0.0,-5.26,2.74,0.0
20050117:1100,0.0,0.0,-5.44,2.7,0.0
20050117:1200,0.0,0.0,-5.63,2.66,0.0
20050117:1300,0.0,0.0,-5.12,2.56,0.0
20050117:1400,0.0,0.0,-4.62,2.46,0.0
20050117:1500,192.65,6.65,-4.11,2.36,0.0
20050117:1600,403.33,15.83,-0.11,1.88,0.0
20050117:1700,503.55,23.34,3.89,1.39,0.0
20050117:1800,750.07,28.52,7.89,0.91,0.0
20050117:1900,841.9,30.75,8.78,0.8,0.0
20050117:2000,458.19,29.69,9.67,0.68,0.0
20050117:2100,644.68,25.5,10.55,0.57,0.0
20050117:2200,779.3,18.74,9.41,0.93,0.0
20050117:2300,512.67,10.09,8.27,1.3,0.0
20050118:0000,0.0,0.0,7.13,1.67,0.0
20050118:0100,0.0,0.0,4.9,1.69,0.0
20050118:0200,0.0,0.0,2.67,1.71,0.0
20050118:0300,0.0,0.0,0.44,1.74,0.0
20050118:0400,0.0,0.0,-0.11,1.96,0.0
20050118:0500,0.0,0.0,-0.67,2.19,0.0
20050118:0600,0.0,0.0,-1.22,2.41,0.0
20050118:0700,0.0,0.0,-1.29,2.71,0.0
20050118:0800,0.0,0.0,-1.37,3.0,0.0
20050118:0900,0.0,0.0,-1.44,3.3,0.0
20050118:1000,0.0,0.0,-1.75,3.43,0.0
20050118:1100,0.0,0.0,-2.06,3.55,0.0
20050118:1200,0.0,0.0,-2.37,3.68,0.0
20050118:1300,0.0,0.0,-2.15,3.83,0.0
20050118:1400,0.0,0.0,-1.92,3.97,0.0
20050118:1500,253.33,6.74,-1.7,4.11,0.0
20050118:1600,387.9,15.94,2.15,3.95,0.0
20050118:1700,344.56,23.48,6.01,3.79,0.0
20050118:1800,296.28,28.69,9.87,3.63,0.0
20050118:1900,361.35,30.95,11.19,3.33,0.0
20050118:2000,386.16,29.9,12.5,3.03,0.0
20050118:2100,148.87,25.71,13.81,2.73,0.0
20050118:2200,413.59,18.95,11.63,2.69,0.0
20050118:2300,286.38,10.29,9.45,2.66,0.0
20050119:0000,0.0,0.0,7.26,2.62,0.0
20050119:0100,0.0,0.0,5.82,2.69,0.0
20050119:0200,0.0,0.0,4.39,2.75,0.0
20050119:0300,0.0,0.0,2.95,2.81,0.0
20050119:0400,0.0,0.0,2.75,2.86,0.0
20050119:0500,0.0,0.0,2.54,2.91,0.0
20050119:0600,0.0,0.0,2.34,2.97,0.0
20050119:0700,0.0,0.0,2.02,2.93,0.0
20050119:0800,0.0,0.0,1.69,2.89,0.0
20050119:0900,0.0,0.0,1.37,2.86,0.0
20050119:1000,0.0,0.0,1.39,2.85,0.0
20050119:1100,0.0,0.0,1.41,2.84,0.0
20050119:1200,0.0,0.0,1.43,2.83,0.0
20050119:1300,0.0,0.0,1.74,2.91,0.0
20050119:1400,0.0,0.0,2.05,2.98,0.0
20050119:1500,140.63,6.83,2.36,3.06,0.0
20050119:1600,248.97,16.06,5.51,2.83,0.0
20050119:1700,482.94,23.63,8.67,2.59,0.0
20050119:1800,717.87,28.87,11.82,2.36,0.0
20050119:1900,777.8,31.15,13.11,2.16,0.0
20050119:2000,804.54,30.12,14.4,1.95,0.0
20050119:2100,985.96,25.93,15.69,1.75,0.0
20050119:2200,796.17,19.17,13.0,1.75,0.0
20050119:2300,528.94,10.5,10.31,1.74,0.0
20050120:0000,0.0,0.0,7.62,1.74,0.0
20050120:0100,0.0,0.0,6.28,2.09,0.0
20050120:0200,0.0,0.0,4.94,2.44,0.0
20050120:0300,0.0,0.0,3.6,2.79,0.0
20050120:0400,0.0,0.0,3.42,2.97,0.0
20050120:0500,0.0,0.0,3.23,3.15,0.0
20050120:0600,0.0,0.0,3.05,3.34,0.0
20050120:0700,0.0,0.0,2.89,3.41,0.0
20050120:0800,0.0,0.0,2.72,3.48,0.0
20050120:0900,0.0,0.0,2.56,3.54,0.0
20050120:1000,0.0,0.0,2.58,3.55,0.0
20050120:1100,0.0,0.0,2.61,3.55,0.0
20050120:1200,0.0,0.0,2.63,3.56,0.0
20050120:1300,0.0,0.0,3.04,3.56,0.0
20050120:1400,0.0,0.0,3.45,3.57,0.0
20050120:1500,382.54,6.93,3.86,3.57,0.0
20050120:1600,693.67,16.19,7.39,3.18,0.0
20050120:1700,916.84,23.78,10.93,2.78,0.0
20050120:1800,1059.01,29.06,14.47,2.39,0.0
20050120:1900,1118.56,31.36,15.66,1.97,0.0
20050120:2000,1093.27,30.34,16.85,1.56,0.0
20050120:2100,984.49,26.16,18.04,1.14,0.0
20050120:2200,795.41,19.38,16.15,1.43,0.0
20050120:2300,529.66,10.7,14.26,1.71,0.0
20050121:0000,0.0,0.0,12.37,1.99,0.0
20050121:0100,0.0,0.0,9.62,2.38,0.0
20050121:0200,0.0,0.0,6.87,2.77,0.0
20050121:0300,0.0,0.0,4.12,3.16,0.0
20050121:0400,0.0,0.0,3.47,3.05,0.0
20050121:0500,0.0,0.0,2.82,2.94,0.0
20050121:0600,0.0,0.0,2.17,2.83,0.0
20050121:0700,0.0,0.0,2.35,3.01,0.0
20050121:0800,0.0,0.0,2.52,3.19,0.0
20050121:0900,0.0,0.0,2.7,3.37,0.0
20050121:1000,0.0,0.0,2.54,3.46,0.0
20050121:1100,0.0,0.0,2.38,3.55,0.0
20050121:1200,0.0,0.0,2.22,3.64,0.0
20050121:1300,0.0,0.0,2.61,3.66,0.0
20050121:1400,0.0,0.0,3.0,3.68,0.0
20050121:1500,96.52,7.04,3.39,3.7,0.0
20050121:1600,123.2,16.32,6.42,3.39,0.0
20050121:1700,325.26,23.95,9.45,3.08,0.0
20050121:1800,588.86,29.25,12.48,2.77,0.0
20050121:1900,758.47,31.58,13.5,2.25,0.0
20050121:2000,654.04,30.57,14.52,1.72,0.0
20050121:2100,562.4,26.39,15.53,1.2,0.0
20050121:2200,352.18,19.6,14.1,1.46,0.0
20050121:2300,340.72,10.91,12.66,1.72,0.0
